dr_no;date_rptd;date_occ;time_occ;area;area_name;rpt_dist_no;part_1_2;crm_cd;crm_cd_desc;mocodes;vict_age;vict_sex;vict_descent;premis_cd;premis_desc;weapon_used_cd;weapon_desc;status;status_desc;crm_cd_1;crm_cd_2;crm_cd_3;crm_cd_4;location;cross_street;lat;lon
200611429;06/15/2020 12:00:00 AM;01/01/2020 12:00:00 AM;1;6;Hollywood;657;2;810;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;0533 1251 1259 0913;14;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;810;;;;1000 N  WILTON                       PL;;34.0885;-118.3136
200616913;10/18/2020 12:00:00 AM;10/18/2020 12:00:00 AM;2030;6;Hollywood;656;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);0329 1822;58;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);304;CLUB/BAT;AA;Adult Arrest;740;;;;1000    VINE                         ST;;34.0889;-118.3266
200401204;11/21/2020 12:00:00 AM;11/21/2020 12:00:00 AM;1530;4;Hollenbeck;465;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0302 1402 1822 1300;0;M;X;101;STREET;102;HAND GUN;AO;Adult Other;230;998;;;BERNAL;6TH;34.0315;-118.2
200119382;10/13/2020 12:00:00 AM;10/13/2020 12:00:00 AM;340;1;Central;159;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);1202 1822 1414 0344;61;M;W;108;PARKING LOT;;;IC;Invest Cont;420;;;;600 S  SANTA FE                     AV;;34.0364;-118.2303
201224450;11/14/2020 12:00:00 AM;11/14/2020 12:00:00 AM;700;12;77th Street;1205;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER);0329 0913 1820;28;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;745;;;;1200 W  51ST                         ST;;33.9969;-118.2959
201008474;04/21/2020 12:00:00 AM;04/06/2020 12:00:00 AM;1335;10;West Valley;1065;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0394 1822;33;F;F;119;PORCH, RESIDENTIAL;;;IC;Invest Cont;341;;;;KILLION;ZELZAH;34.1709;-118.522
201005453;02/04/2020 12:00:00 AM;02/04/2020 12:00:00 AM;720;10;West Valley;1029;2;624;BATTERY - SIMPLE ASSAULT;0416 0417 1822 1278 0305;52;M;H;101;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;624;;;;WOODLEY                      AV;SHERMAN                      WY;34.2012;-118.4837
201304608;01/10/2020 12:00:00 AM;01/10/2020 12:00:00 AM;1850;13;Newton;1361;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0448 0344 0216;24;F;H;710;OTHER PREMISE;;;IC;Invest Cont;341;;;;VERNON;BROADWAY;34.0038;-118.2784
200308776;03/18/2020 12:00:00 AM;03/18/2020 12:00:00 AM;1840;3;Southwest;395;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1309 1310 1822 0202 0919;26;M;H;101;STREET;307;VEHICLE;IC;Invest Cont;230;;;;MARTIN LUTHER KING           BL;WESTERN                      AV;34.0109;-118.3089
200113874;06/24/2020 12:00:00 AM;06/24/2020 12:00:00 AM;1110;1;Central;192;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0445 1253 1402 2004 0416 0447 0917 1822;32;M;H;802;MUNICIPAL BUS LINE INCLUDES LADOT/DASH;312;PIPE/METAL PIPE;AA;Adult Arrest;230;998;;;17TH;OLIVE;34.0342;-118.266
200320734;11/22/2020 12:00:00 AM;11/22/2020 12:00:00 AM;700;3;Southwest;362;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1822 1100 0430 1407;18;M;H;101;STREET;102;HAND GUN;IC;Invest Cont;230;;;;4600 W  MARTIN LUTHER KING JR        BL;;34.0195;-118.3489
200804963;01/22/2020 12:00:00 AM;01/22/2020 12:00:00 AM;1928;8;West LA;847;2;888;TRESPASSING;1501;49;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;888;;;;2300    FOX HILLS                    DR;;34.0473;-118.4206
201011707;08/05/2020 12:00:00 AM;08/04/2020 12:00:00 AM;1530;10;West Valley;1099;1;310;BURGLARY;1267 1822 1608 0344;39;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;310;;;;3700    ROYAL WOODS                  DR;;34.138;-118.4727
200611690;06/22/2020 12:00:00 AM;06/22/2020 12:00:00 AM;1620;6;Hollywood;676;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);329;0;X;X;406;OTHER STORE;;;IC;Invest Cont;740;;;;800    COLE                         AV;;34.0853;-118.3299
200613510;08/05/2020 12:00:00 AM;08/02/2020 12:00:00 AM;1845;6;Hollywood;678;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;0400 0444 0913 1814 2000;46;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;626;;;;900 N  OXFORD                       AV;;34.0862;-118.3078
